providerName,contactInfo,address,region,province,city,remarks,providerCode
PHYSIOPLUS PRO PHYSICAL THERAPY CLINIC-BAGUIO CITY(ACTIVE LIFE CHICAGO PHYSICAL THERAPY SERVICES ),CP.#: 0961-0167373; 0906-7658931,"GF EDY BLDG, 144 KISAD ROAD, BRGY. BURNHAM LEGARDA, BAGUIO CITY",CAR,BENGUET,BAGUIO,,12922
"PREMIERE DIAGNOSTICS BAGUIO, INC.","TEL.#: (074)620-1823, CP: (0917)108-6214","LOWER LEVEL 1 OLIVE TOWN CENTER AND HOTEL, LOWER GENERAL LUNA ROAD, BAGUIO CITY",CAR,BENGUET,BAGUIO,,13598
QA DIAGNOSTIC LABORATORY,TEL.#: 074-619-2482; MOBILE:  0975-130-4717; 0920-203-2257,2ND FLOOR DANES BLDG. CHUNTUG ST. KAYANG COR. BAGUIO BENGUET 2600 ,CAR,BENGUET,BAGUIO,,12986
SESSION DIAGNOSTIC CENTER,TEL: (074) 246-9905; CP: 0998-9727319,"GROUND FLR., G.E.B.M BLDG. LOWER SESSION ROAD BAGUIO CITY, BENGUET",CAR,BENGUET,BAGUIO,,13099
URR ALLIED LABORATORY CLINIC,TEL.#: (074) 665-8979 CP: 0925-444-9543 (Atty Reina Ruiz); 0917-594-6615 EMAIL: reinamairr@gmail.com; urrallied.labclinic@gmail.com; attyreinaruiz@gmail.com,"#1 BALACBAC ROAD CORNER MARCOS HIGHWAY, BAGUIO CITY",CAR,BENGUET,BAGUIO,,12778
ALRAFA CARDIOVASCULAR DIAGNOSTIC CENTER,"CP: (0906) 242-1201, (0919) 874-1812","UNIT A-B 2ND FLR. R. SQUARE BLDG. 202 WILLIAM SHAW ST. BRGY. 087, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,13947
AMERICAN HEARING CENTER CORP- MANILA CENTRAL UNIVERSITY HOSPITAL,TEL.#: (02) 8-367-2031 LOC. 1234 CP: 0955-791-2698 EMAIL: roemacaso@gmail.com,2/F HOSPITAL BLDG. EDSA CALOOCAN CITY,NCR,METRO MANILA,CALOOCAN,,11631
CENTRALLE MEDICAL DIAGNOSTICS & POLYCLINIC INC.-AMIJI,TEL.#: 8-366-9068/ 8-330-1596(CLINIC LABORATORY); 8-367-4691/ 8-334-1233(ADMIN); 8-288-4259(HMO) ,"G/F 1ST AMIJI MANSION 6TH AVE., COR., M.H. DEL PILAR ST., CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,10453
CENTRALLE MEDICAL DIAGNOSTICS & POLYCLINIC INC.-CAMARIN,TEL.#: 8-962-0950 (LAB); 7-586-4357 CP: 0955-892-0246 EMAIL: camarinmdp@yahoo.com,"UNIT 5-8 RDF BLDG. OLD ZABARTE ROAD CAMARIN, NOVALICHES CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,10640
CUNANAN MEDICAL SERVICES INCORPORATED (A.K.A. HEALTH SCREEN LABORATORY AND DIAGNOSTIC CENTER),CONTACT NOS: TEL. #: 8-477-4313; CP: 0917-700-0599,"2/F 3 ASUNCION ST. MORNING BREEZE BARANGAY 83, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,14114
"GAMMACARE MEDICAL SERVICES, INC.",FAX: 8961-3664; GLOBE: 0917-560-3725; SMART: 0918-951-9718; SUN 0922-831-5965 EMAIL: gammacareservices@gmail.com; diagnostics@gammacaremsi.com,"635 MALANTING ST. COR. BINAYUYO ST. AMPARO SUBD.,  NOVALICHES, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,12821
JDC ACCELERATED WELLNESS AND PAIN CLINIC,TEL.#: (02) 7585-9878 CP: 0906-768-7556; 0961-981-2868; 0995-840-7772 EMAIL: awpc.ph@gmail.com,UNIT 201 7 BIGLANG AWA ST BRGY 94 CALOOCAN CITY,NCR,METRO MANILA,CALOOCAN,,12738
"MEDCARE DIAGNOSTIC CENTER AND MULTI-SPECIALTY CLINIC, INC.",TEL.#: 8-363-8696; 8-442-7388 EMAIL: maricris_manuzon@yahoo.com,"400 EDSA 86 ZONE 8, CALOOCAN CITY, METRO MANILA",NCR,METRO MANILA,CALOOCAN,,11433
"MERCENE MEDICAL, DENTAL AND DIAGNOSTIC CLINIC","TEL.#: 7-502-9649, 8-293-1438 CP: 0917-833-4926; EMAIL: merma_mercene@yahoo.com; mercenemedical2014@yahoo.com","BLK. 1 LOT 36 SM HOMES COMMERCIAL BLDG., SUSANO ROAD CAMARIN, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,12442
NEPHROLOGY CENTER CALOOCAN,TEL.#: 8-361-8283; 8-361-8484 EMAIL: nephro_caloocan@yahoo.com,"522 EDSA, BRGY. BIGLANG AWA, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,11059
"PROSER HEALTH SERVICES, INC. - SM CITY GRAND CENTRAL","TEL.#: (02) 8-396-9899, 8-396-9898 LOCAL 5652","5TH LEVEL, SM CITY GRAND CENTRAL RIZAL AVENUE EXTENSION, BARANGAY 88 GRACE PARK 1403 CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,13878
REACTIVE PHYSICAL THERAPY CLINIC,"CP: (0977) 241-8966, (0919) 258-2076","UNIT  502 36 8TH ST. BARANGAY 93 1400 CALOOCAN CITY, THIRD DISTRICT",NCR,METRO MANILA,CALOOCAN,,13937
ST. GEORGE CLINICAL LABORATORY SERVICES,TEL.#: 8-323-2203; 8-367-3083; 8-330-1299 CP: 0922-893-3085 EMAIL: stgeorge.calooocan@yahoo.com,"704 PUREGOLD CALOOCAN BLDG., RIZAL AVE. EXT., CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,11081
"ST. JOHN BIOCARE & DIALYSIS CENTER FOUNDATION, INC. - CALOOCAN",TEL.#: 8-568-3401 (Cashier); 8-962-0011 EMAIL: sjbc.caloocan@gmail.com,"4TH FLOOR ARANETA SQUARE MALL, SAMSON ROAD CORNER RIZAL AVENUE, MONUMENTO CIRCLE, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,11516
ST. JUDE MEDICAL CLINIC & DIAGNOSTIC CENTER-DAGAT-DAGATAN,TEL.#: 8-921-9118 Email: stjudecaloocan@gmail.com,"BLK 51 LOT 3 BRGY. 8 DAGAT-DAGATAN, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,11239
ST. MICHAEL'S MEDICAL CLINIC & DIAGNOSTIC CENTER- CALOOCAN,TELEFAX: 8-442-6036 EMAIL: smmc_monumento@yahoo.com,"NORTHWEST PLAZA, PLAZA BLDG., 749 RIZAL AVE., EXTENTION CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,13051
"SUNRISE MEDICAL LAB, INC. (HI-PRECISION DIAGNOSTICS INC.-ZABARTE BRANCH)","CP:  0917-869-8409, 0993-986-6408","LOWER GROUND FLOOR KAI MALL ZABARTE COR. CAMARIN ROADS BRGY.  174, NORTH CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,13946
THE MEDICAL CITY SATELLITE CLINIC-VICTORY MALL,TEL.#: 8-351-4978; 8-351-4987 ,"3/F VICTORY CENTRAL MALL, OLD VICTORY COMPOUND, RIZAL AVE., MONUMENTO, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,10879
THE PERLAS POLYCLINIC MEDICAL INC.    ,TEL.#:  8-364-8731/ 8-361-8637 (Specialist); 8-442-3295 (Hmo); 8-365-3895 (Accounting) Email: perlaspolyclinic@yahoo.com,"171-173 4TH AVENUE COR. F. ROXAS ST. GRACE PARK, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,14078
CASA MEDICA INC. (FORMERLY MEDISERV SOUTHMALL),TEL#: 8-806-7831; 8-806-7851; 8-806-7855; 8-806-7862; 8-806-7859; 8-806-7872 CP: 0918-9643646 Fax: 8-806-6863 EMAIL: casamedicasouthmall@yahoo.com,"UNIT 0105-A SERVICE LANE, SM SOUTHMALL, ALABANG-ZAPOTE RD., LAS PIÑAS CITY",NCR,METRO MANILA,LAS PIÑAS,,10447
FADISAB PHYSICAL THERAPY CLINIC,TEL. #: (02)73407932 ; M:  09298019039,"UNIT 9 COMMERCIAL BLDG. 1 PDC COMPOUND ROSE AVENUE PILAR VILLAGE, LAS PINAS CITY",NCR,METRO MANILA,LAS PIÑAS,,13053
HI-PRECISION DIAGNOSTICS-LAS PIÑAS BRANCH,TEL. NO:  8-800-6818; 8-800-6824 Telefax No: 8006818 local 120;  Mobile No: (0917) 703-0578; (0943) 707-3290 Mobile No: (0933) 821-3404 (RT-PCR)  E-mail Address: pcr.lp@hi-precision.com.ph; hplp@hi_precision.com.ph/  lp_sendin@hi-precision.com.ph,"LOT 2-D1 TO 3, ALABANG ZAPOTE RD. TALON DOS, LAS PIÑAS CITY ",NCR,METRO MANILA,LAS PIÑAS,,10717
INTEGRATED SOUTHERN HEALTH AND UROLOGICAL CARE INC. (PERPETUAL HELP STONE AND PROSTATE CENTER),TEL.: 8-874-85-15 loc. 722; 8- 294-8611   MOBILE: 09175232205; 0961-900-8980 EMAIL: ishuc0921@gmail.com / healthcarebyishuc@gmail.com,"G/F UNIMALL BLDG. ALABANG ZAPOTE, PAMPLONA TRES LAS PIÑAS CITY ",NCR,METRO MANILA,LAS PIÑAS,,12898
I-HEALTH MULTI-SPECIALIST CLINIC,"Tel.# 8-556-9866, 8-556-8088; CP: 0915-408-1779 EMAIL: ihealthclinic@yahoo.com","UNIT 206, UPPER GROUND FLR., SM CENTER-LAS PIÑAS, ALABANG-ZAPOTE ROAD, PAMPLONA II, LAS PIÑAS CITY",NCR,METRO MANILA,LAS PIÑAS,,"
10896"
JDC ACCELERATED WELLNESS AND PAIN CLINIC - LAS PINAS CITY BRANCH,TEL. #: 02-7001-6228; 0936-545-7168; 0968-540-3927 ,29 BF RESORT DRIVE BF RESORT VILLAGE TALON DOS LAS PINAS CITY,NCR,METRO MANILA,LAS PIÑAS,,12989
NEPHROLOGY CENTER LAS PIÑAS DIALYSIS INC.,"Tel.#: 8-800-3775, 8-800-4579 Email: nephrolaspinas@gmail.com","440 ALABANG ZAPOTE ROAD, TALON UNO, LAS PIÑAS CITY",NCR,METRO MANILA,LAS PIÑAS,,11060
"NEW WORLD DIAGNOSTICS, INC.-LAS PIÑAS",Tel.#: 8-790-8865; 8886-3654; CP. 0927-6369985; Email: laspinas@nwdi.com.ph,"G/F IMPERIAL APPLIANCE PLAZA, ALABANG ZAPOTE RD., TALON UNO, LAS PIÑAS CITY",NCR,METRO MANILA,LAS PIÑAS,,11761
"PROSER HEALTH SERVICES, INC. -SM SOUTH TOWER (THE MEDICAL CITY)","TEL.#:  8-835-6862 LOC. 7201, 7202(recep) CP: 0917-8549049 Email: tmcsouthtower@themedicalcity.com",G/F SM SOUTH TOWER ALABANG ZAPOTE ROAD ALMANZA UNO LAS PIÑAS CITY,NCR,METRO MANILA,LAS PIÑAS,,12677
THERESE LISIEUX DIAGNOSTICS AND RESEARCH CENTER,TEL NO.:  88229954/0961-412-9225/ 0945-876-3255,"G/F 56 TIMES AVE. MANILA TIMES VILLAGE, PAMPLONA TRES LAS PIÑAS CITY",NCR,METRO MANILA,LAS PIÑAS,,12997
URESTORE PHYSICAL THERAPY & REHABILITATION CLINIC,MOBILE: 09171780505,"SM SOUTHMALL 0011 ALABANG ZAPOTE ROAD, ALMANZA UNO LAS PINAS CITY",NCR,METRO MANILA,LAS PIÑAS,,11582
6F AESTHETIC AND ANTI-AGEING CENTER,TEL.#: 8-887-5941 CP: 0906-324-5315 EMAIL: SixF.aesthetics@gmail.com,"UNIT 1710, MEDICAL PLAZA MAKATI, AMORSOLO COR. DELS ROSA STS., LEGASPI VILLAGE, MAKATI CITY",NCR,METRO MANILA,MAKATI,,10881
ABESAMIS EYE CENTER,TEL.#: 8-813-3482; CP: 0917-1780122,SUITE 906 MEDICAL PLAZA MAKATI AMORSOLO ST. COR. DELA ROSA ST. LEGASPI VILL. MAKATI CITY,NCR,METRO MANILA,MAKATI,,10638
ADVANCED LAB SOLUTIONS BY HI-PRECISION DIAGNOSTICS,TEL. #: 7793-8623 CP:  09431351862; 09178621152 EMAIL: hpcenturia@hi-precision.com.ph,"9/F CENTURIA MEDICAL CENTER LOT 9 KALAYAAN AVE. COR. SALAMANCA ST., BRGY., POBLACION, MAKATI CITY",NCR,METRO MANILA,MAKATI,,11773
"AEGLE WELLNESS CENTER, INC.",Tel.#: 8-737-0077 MOBILE: 0917-821-9795; 0949-889-6237 Email: info@aeglewellnesscenter.com,6TH FLOOR THE CITY CLUB 7232 AYALA AVE. EXTENSION MAKATI CITY,NCR,METRO MANILA,MAKATI,,12646
"ALMARIO PHYSIO TEAM (PHYSIXARE ADTEK SOLUTIONS, INC.)",TEL. #: 7-621-9249 CP: 0917-148-7336 EMAIL: 902makatibranch@gmail.com,"UNIT 902 MEDICAL PLAZA, AMORSOLO STREET, COR. DELA ROSA ST., LEGASPI CILLAGE, MAKATI CITY",NCR,METRO MANILA,MAKATI,,12486
"ALVIAR MEDICAL LABORATORIES, INC. (FORMERLY ST. JOHN MEDICAL LABORATORIES)","TEL.#: 8-843-1705, 88735-3971 EMAILl: alviarmedicallaboratories@gmail.com","GROUND FLOOR 2296 NAF BUILDING, DON CHINO ROCES AVE, PASONG TAMO, PIO DEL PILAR, MAKATI CITY",NCR,METRO MANILA,MAKATI,,10957
ANGELINA APOSTOL PUNZALAN MEDICAL CLINIC, 7-373-4676; M: 09358107036; Email Address: angelina_punzalan@hotmail.com;  atmcfinancepurchasing@gmail.com,"3RD FLOOR NEW ATRIUM WING COMMERCIAL COMPLEX, GUADALUPE, MAKATI CITY",NCR,METRO MANILA,MAKATI,,10413
ASIA PACIFIC MEDICAL & DIAGNOSTICS (APMD) INC.,Tel.#:  7-358-8680 loc. 102,"3/F  2053 ALSCHOPHIL BUILDING EDISON COR. FARADAY ST., SAN ISIDRO, MAKATI CITY",NCR,METRO MANILA,MAKATI,,10032
"ASSOCIATED MEDICAL & CLINICAL SERVICES, INC.",Tel.#: 8-836-1575,"3/F KALAYAAN BLDG., SALCEDO COR.  DELA ROSA ST., LEGASPI VILLAGE, MAKATI CITY",NCR,METRO MANILA,MAKATI,,10420
PHYSIOCARE PHYSICAL THERAPY CLINIC ( FORMERLY: CHICAGO DOCTOR PHYSICAL THERAPY SERVICES  - MAKATI),Tel.#: 7-625-8771; Cp#: 09957212960; EMAIL: physiocareptclinic@gmail.com,"LG49 CITYLAND PASONG TAMO, 6364 CALLE ESTACION ST. PIO DEL PILAR, CITY MAKATI",NCR,METRO MANILA,MAKATI,,11855
CORE RENAL CENTER INC. (MANAGED BY ST. JOHN BIOCARE & DIALYSIS CENTER FOUNDATION INC.),TEL. #: 8-844-2686; 8-772-8350 EMAIL: sjbd.corerenalcenter@gmail.com,"G/F EMF BUILDING  7424-7426 M. SANTILLAN ST. BRGY. PIO DEL PILAR, MAKATI CITY",NCR,METRO MANILA,MAKATI,,11515
FMC RENAL CORP.- MAKATI,"Tel #: 8-891-9575; 8-871-5909 Fax: 8-817-9615, 8-817-5791; CP: 0917-593-3861, 0917-8209763 Email: nephrocare.chinoroces@fmc-asia.com",2257 DON CHINO ROCES AVE. PASONG TAMO EXT. MAKATI CITY,NCR,METRO MANILA,MAKATI,,11710
FORTMED MEDICAL CLINICS-MAKATI,Tel.#: 8-897-9111 to 19; Fax: 8-890-9957,3/F CROWN CENTER 158 JUPITER ST. COR. NICANOR GARCIA ST. BEL AIR VILLAGE MAKATI CITY,NCR,METRO MANILA,MAKATI,,10488
GREPALIFE MEDICAL AND DIAGNOSTIC CENTER,TEL.#: 8-886-6586 to 88; 8-843-5063 EMAIL: dvrodriguez@sunlifegrepa.com,"MEZZANINE FLOOR TOWER 2 RCBC PLAZA, 6819 AYALA AVE. MAKATI CITY",NCR,METRO MANILA,MAKATI,,10763
"HALCYON MARINE HEALTHCARE SYSTEMS, INC.",TEL.#: 02-75058007 and 09163353909; 09184883812; Web: www.halcyonmarine.com.ph,"MA. CORNELIA BUILDING, 222 GEN. PUYAT AVE., MAKATI",NCR,METRO MANILA,MAKATI,,11654
"HEALTHBRIDGE MEDICAL SERVICES, INC.",TEL.#: 8-478-7136 EMAIL: healthbridgelab@gmail.com; pinkydejesus@yahoo.com,"1ST FLOOR A AND N BLDG. 9694 KAMAGONG COR. ST. PAUL STS., BRGY. SAN ANTONIO, MAKATI CITY",NCR,METRO MANILA,MAKATI,,11146
"HEALTH METRICS, INC. -MAKATI",Tel.# 7-794-1234 Loc 211CP:(0917) 530-1852 Email: ladan@healthmetrics.com.ph,"2ND TO 5TH FLOOR MERRY L;AND BLDG., 1157 CHINO ROCES AVE., SAN ANTONIO VILLAGE, MAKATI CITY",NCR,METRO MANILA,MAKATI,,11738
HEALTHLAB INC.,TEL.#: 8-867-1140; 8-844-3703 EMAIL: healthlabinc@gmail.com,"ROOM 1601 MEDICAL PLAZA MAKATI, AMORSOLO COR., DELA ROSA ST., LEGASPI VILL. MAKATI CITY ",NCR,METRO MANILA,MAKATI,,10498
HEALTHTRIX MEDICAL & DIAGNOSTIC CLINIC CORPORATION,TEL. #: 8-740-2534; CP: (0917) 597-4888,"GROUND FLOOR AM FLORES BUILDING, 5353 MARIANO ST. COR. GENERAL LUNA ST. POBLACION
1210, MAKATI CITY",NCR,METRO MANILA,MAKATI,,13820
HEALTHWAY MEDICAL CLINICS-GREENBELT,TEL. #: 7-751-4929 loc. 4027; 7-239-8621; 7-720-6109 M: 09178746084; 09999937318 EMAIL: gb@healthway.com.ph,"Space 4-001D to 4-001G, Greenbelt 5 Ayala Center, San Lorenzo, Makati City",NCR,METRO MANILA,MAKATI,,10506
"HI-PRECISION DIAGNOSTICS INC. - AYALA (SUNRISE MEDICAL LAB, INC.-AYALA)",Tel No: (02)8-983-0325 ; Mobile No: 0917-6374849; 0933-869-0054 E-mail Address: hpmakati@hi-precision.com.ph,"UNIT 3 GROUND FLOOR AYALA NORTH EXCHANGE, AYALA AVE. COR. AMORSOLO ST. LORENZO, MAKATI CITY",NCR,METRO MANILA,MAKATI,,12751
HP DIAGNOSTIC PLUS-ROCKWELL (HI-PRECISION DIAGNOSTICS), Tel. No: (02) 8-478-0377/ 8-404-8120;  Mobile No: 0943-1351846/ 0917-8481765;  E-mail Address: hprockwell@hi-precision.com.ph ,R3 LEVEL THE POWER PLANT MALL (BESIDE BELO) ROCKWELL CENTER MAKATI CITY,NCR,METRO MANILA,MAKATI,,10852
KLINI-KAYA MEDICAL SPECIALIST INC. ,Tel. No: 02-8-882-8433; 8332-4599 CP: 09325312962 Email: klinikaya1@yahoo.com,"WIGWAM PLACE, 2014 RAMON MAGSAYSAY AVENUE, GUADALUPE NUEVO MAKATI CITY",NCR,METRO MANILA,MAKATI,,11530
"MAKATI LIFE NURTURE MEDICAL CENTER, INC. (LIFE NURTURE, INCORPORATED)","TEL.#: (02) 8-888-2020 CP.:  (0947) 990-7362, (0917) 658-5433","MALUGAY ST. BEL-AIR 1209, MAKATI CITY",NCR,METRO MANILA,MAKATI,,13976
MAKATI MEDICAL CENTER HEALTHUB,Tel. #: 425-8746,"1ST FLOOR, TOWER 1 HALL A (NEAR BURGER KING); MON-SAT 8-6PM",NCR,METRO MANILA,MAKATI,,11123
MANILA HEARING AID-MAKATI (JOMA PROPERTY DEVELOPMENT CORP. - MAKATI), TEL: 8-817-2756;8-894-3498 CP#: 0929-199-9419,"3/F MERCURY DRUG, AYALA MALL ENTRANCE, AYALA CENTER ",NCR,METRO MANILA,MAKATI,,11881
MESSIAH CLINICA MEDICA MEDICAL CLINIC,"CP: (0956) 985-1448, (0960) 504-9278","2ND FLOOR KIMSTON PLAZA COR. P. VICTOR, GUADALUPE NUEVO, MAKATI CITY",NCR,METRO MANILA,MAKATI,,13594
"NEW WORLD DIAGNOSTICS, INC.-MAKATI (FORMERLY NEW WORLD LABORATORY-MAKATI)","TEL.#: 8-887-5498, 8-790-8870, 8-887-5455 M: 0925-713-8081 Email: makati@nwdi.com.ph","RM. 104 & 105 G/F CAMPOS RUEDA, 101 URBAN AVE., SAN LORENZO, MAKATI CITY",NCR,METRO MANILA,MAKATI,,10241
PATIENT FIRST HOSPITAL CORP.,"Tel.#: 8-840-2218,  Cp: 0917-8212218 ","UNITS 101, 102, 407 & 408 KDC PLAZA BLDG. 2212 CHINO ROCES AVE., MAKATI CITY 1230",NCR,METRO MANILA,MAKATI,,10569
PHILIPPINE ORTHOPEDIC INSTITUTE,Tel.#: 8-892-1541 to 43; Fax: 8-892-4724,"2/F DON JACINTO BLDG., DELA ROSA COR. SALCEDO ST., LEGASPI VILLAGE, MAKATI CITY",NCR,METRO MANILA,MAKATI,,10271
"PMP DIAGNOSTIC CENTER INC. (PMP DIAGNOSTIC CENTER, INC. - MAKATI)",Tel.#: 8-894-0376; 0917-8005-866 Telefax #: 8-553-2947," MALUGAY ST. COR. GIL PUYAT AVE., BEL-AIR, MAKATI CITY",NCR,METRO MANILA,MAKATI,,12673
PRO-HEALTH ASIA-PHILIPPINES. INC.,TEL.#: 7-793-8762 MOBILE: 0956-914-8260,"UNIT 3, 28 F CENTURIA MEDICAL MAKATI CENTURY CITY, KALAYAAN AVE. COR. SALAMANCA ST. BRGY. POBLACION, MAKATI CITY 1210",NCR,METRO MANILA,MAKATI,,12817
PROLAB DIAGNOSTICS,Tel.#: 8-553-9826/ 77190857 (Quezon City)/ 85539826 (Makati)/ 85198814 ,"UNIT 202, 2ND FLOOR MAKATI EXECUTIVE TOWER 4, CITY LAND SQUARE, SENATOR GIL PUYAT AVE., COR. P. MEDINA ST., MAKATI CITY",NCR,METRO MANILA,MAKATI,,10579
THE MEDICAL CITY @ SAN LORENZO PLACE,TEL.#: 8-838-3750; 8-838-0008; 8-837-9383; 8-883-3338 CP: 0936-351-7123,"2F-B27 SAN LORENZO PLACE TOWER 3 EDSA COR. CHINO AVE. BANGKAL, MAKATI CITY",NCR,METRO MANILA,MAKATI,,12569
QUALIMED HEALTH NETWORK,TEL.#: 8-861-0517; 8-869-0496 CP: 0917-653-7892,"G/F MCKINLEY CORP. EXCHANGE CENTER, MCKINLEY ROAD COR. EDSA, MAKATI CITY",NCR,METRO MANILA,MAKATI,,11494
"RGO LABORATORY & INDUSTRIAL DX CENTER, INC.","TEL.#: 8-843-1853, 8-889-1311, 8-889-4944 EMAIL: melody.rgomarketing@gmail.com","G/F EMILUZ BLDG., 1980 CAPT. M. REYES ST. COR. GEN. LUCBAN ST., BRGY. BANGKAL, MAKATI CITY",NCR,METRO MANILA,MAKATI,,11258
"RNL MEDICAL & DIAGNOSTIC CENTER, INC.",Tel. #: 7-909-1244; CP: 0917-8084806,"LOT1 530 TALISAY ST. BRGY. COMEMBO, MAKATI CITY",NCR,METRO MANILA,MAKATI,,11245
